,avg_dist,avg_rating_by_driver,avg_rating_of_driver,avg_surge,city,phone,signup_date,surge_pct,trips_in_first_30_days,luxury_car_user,weekday_pct,churn
0,6.94,5.0,5.0,1.0,Astapor,Android,2014-01-12,0.0,0,False,100.0,False
1,8.06,5.0,5.0,1.0,Astapor,Android,2014-01-25,0.0,2,True,0.0,True
2,21.5,4.0,4.460817930755825,1.0,Winterfell,iPhone,2014-01-02,0.0,1,True,100.0,False
3,9.46,5.0,4.642330559853267,2.75,Winterfell,Android,2014-01-09,100.0,1,False,100.0,True
4,13.77,5.0,4.642330559853267,1.0,Winterfell,iPhone,2014-01-31,0.0,0,False,100.0,False
5,14.51,5.0,4.642330559853267,1.0,Astapor,iPhone,2014-01-29,0.0,0,True,100.0,True
6,4.87,4.7,4.0,1.0,Astapor,Android,2014-01-18,0.0,0,False,66.7,True
7,1.78,4.0,5.0,1.0,Winterfell,iPhone,2014-01-11,0.0,3,False,0.0,True
8,6.87,5.0,4.7,1.0,Astapor,Android,2014-01-01,0.0,3,False,66.7,True
9,2.41,5.0,3.0,1.0,Winterfell,iPhone,2014-01-28,0.0,1,False,100.0,True
10,3.96,5.0,4.642330559853267,2.0,Winterfell,iPhone,2014-01-18,100.0,1,False,0.0,True
11,17.04,5.0,4.642330559853267,1.0,Winterfell,Android,2014-01-26,0.0,0,True,100.0,False
12,5.42,4.7,5.0,1.0,Astapor,iPhone,2014-01-05,0.0,2,True,33.3,False
13,5.02,5.0,5.0,1.0,Astapor,Android,2014-01-19,0.0,1,False,0.0,True
14,4.28,5.0,4.0,1.15,Winterfell,Android,2014-01-14,20.0,2,False,40.0,False
15,3.4,5.0,5.0,1.0,Astapor,Android,2014-01-16,0.0,1,True,100.0,True
16,6.74,4.8,3.7,1.02,Winterfell,iPhone,2014-01-25,9.1,2,False,54.5,False
17,7.27,4.8,4.0,1.0,Winterfell,iPhone,2014-01-07,0.0,1,False,75.0,False
18,2.72,4.7,4.5,1.0,Astapor,iPhone,2014-01-10,0.0,1,False,33.3,True
19,5.94,5.0,5.0,1.0,Astapor,iPhone,2014-01-26,0.0,1,True,100.0,True
20,17.34,5.0,5.0,1.0,Winterfell,Android,2014-01-14,0.0,1,True,100.0,True
21,3.31,4.8,3.7,1.02,King's Landing,iPhone,2014-01-28,2.6,9,False,47.4,False
22,2.69,4.3,5.0,1.0,Winterfell,iPhone,2014-01-15,0.0,0,False,0.0,True
23,6.0,5.0,4.642330559853267,1.0,Winterfell,iPhone,2014-01-07,0.0,1,False,100.0,True
24,4.96,5.0,5.0,1.0,Winterfell,iPhone,2014-01-26,0.0,1,False,100.0,True
25,11.44,4.6,4.7,1.0,Astapor,iPhone,2014-01-25,0.0,6,True,31.4,False
26,0.05,5.0,5.0,1.0,Winterfell,Android,2014-01-12,0.0,1,False,0.0,True
27,3.7,4.6,5.0,1.0,Winterfell,iPhone,2014-01-04,0.0,2,False,40.0,False
28,3.89,5.0,4.0,1.0,Astapor,iPhone,2014-01-03,0.0,0,False,0.0,True
29,4.7,4.8,3.3,1.0,Astapor,Android,2014-01-06,0.0,4,False,25.0,True
30,2.49,4.9,4.7,1.11,King's Landing,Android,2014-01-09,14.3,2,True,78.6,False
31,1.45,4.8,3.6,1.2,Astapor,iPhone,2014-01-25,28.6,2,True,57.1,False
32,25.18,5.0,4.642330559853267,1.0,Astapor,iPhone,2014-01-24,0.0,0,False,50.0,True
33,1.84,4.9,4.0,1.03,Winterfell,iPhone,2014-01-31,11.1,4,True,33.3,False
34,2.89,5.0,5.0,1.0,Astapor,Android,2014-01-22,0.0,0,False,0.0,False
35,5.55,5.0,5.0,1.0,Astapor,iPhone,2014-01-06,0.0,2,True,50.0,True
36,10.58,5.0,4.3,1.03,Astapor,iPhone,2014-01-02,11.1,2,False,88.9,False
37,7.78,4.6,4.56972550821429,1.14,Winterfell,Android,2014-01-01,28.6,1,False,57.1,False
38,4.01,4.4,5.0,1.0,Winterfell,iPhone,2014-01-24,0.0,2,True,63.6,False
39,2.81,4.8,4.6,1.07,Winterfell,iPhone,2014-01-25,11.1,5,False,59.3,False
40,2.87,5.0,5.0,1.0,Winterfell,iPhone,2014-01-26,0.0,0,False,50.0,False
41,3.4,5.0,5.0,1.13,Astapor,iPhone,2014-01-11,37.5,4,False,87.5,False
42,0.43,3.0,4.0,1.0,Winterfell,Android,2014-01-24,0.0,1,False,100.0,True
43,0.87,5.0,4.0,1.0,Astapor,Android,2014-01-01,0.0,1,False,100.0,True
44,3.92,4.4,4.0,2.0,Winterfell,iPhone,2014-01-31,60.0,0,False,0.0,False
45,6.86,5.0,5.0,1.25,Winterfell,Android,2014-01-25,50.0,0,False,0.0,True
46,11.03,5.0,5.0,1.0,Astapor,iPhone,2014-01-20,0.0,3,False,100.0,True
47,0.85,5.0,5.0,3.0,Winterfell,iPhone,2014-01-10,100.0,0,False,100.0,True
48,1.43,4.5,3.8,1.0,King's Landing,iPhone,2014-01-01,0.0,3,True,52.4,False
49,2.35,5.0,4.0,1.0,Astapor,iPhone,2014-01-28,0.0,0,True,0.0,True
50,5.6,4.8,4.1,1.09,King's Landing,iPhone,2014-01-25,18.2,4,True,57.6,False
51,1.44,5.0,5.0,1.0,Winterfell,iPhone,2014-01-19,0.0,1,True,0.0,True
52,4.41,5.0,4.642330559853267,1.0,Winterfell,iPhone,2014-01-01,0.0,0,False,0.0,False
53,3.11,4.7,4.5,1.19,Winterfell,iPhone,2014-01-06,29.4,0,False,76.5,False
54,2.23,4.5,4.0,1.0,Winterfell,iPhone,2014-01-05,0.0,0,False,0.0,True
55,1.95,5.0,5.0,1.0,Astapor,iPhone,2014-01-25,0.0,2,True,0.0,True
56,24.17,5.0,4.642330559853267,1.0,Winterfell,Android,2014-01-14,0.0,0,True,100.0,True
57,9.91,4.0,5.0,1.06,Winterfell,iPhone,2014-01-03,25.0,0,True,100.0,False
58,12.37,4.0,1.0,1.0,Winterfell,iPhone,2014-01-29,0.0,0,False,50.0,True
59,1.97,5.0,4.0,1.0,Astapor,iPhone,2014-01-24,0.0,2,False,80.0,True
60,11.62,4.0,4.0,1.0,Winterfell,iPhone,2014-01-30,0.0,0,False,100.0,True
61,7.79,5.0,4.642330559853267,1.0,Winterfell,iPhone,2014-01-26,0.0,1,False,0.0,True
62,37.64,5.0,4.642330559853267,1.0,King's Landing,iPhone,2014-01-29,0.0,0,False,0.0,False
